Rank;Name;Computer;Site;Country;Year;Segment;Total Cores;Power (kW);Cores per Socket;Continent;Site ID;System ID;Power per Socket (kW)
142;Grete;MEGWARE GPU Server System, AMD EPYC 7513 32C 2.6GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR;NHR@Göttingen;Germany;2022;Academic;49600;205.62;32;Europe;50,947;180092;0.13265806451612905
143;Electra;HPE SGI 8600/SGI ICE-X, E5-2680V4/ Xeon Gold 6148 20C 2.4GHz, Infiniband EDR/FDR-56 IB;NASA/Ames Research Center/NAS;United States;2018;Research;124416;1685.73;20;North America;48,408;179589;0.2709828317901235
145;Snellius Phase 2 CPU;ThinkSystem SD665 V3, AMD EPYC 9654 96C 2.4GHz, Infiniband NDR200;SURF;Netherlands;2023;Research;150912;799;96;Europe;50,900;180230;0.5082697201017812
147;MAHTI;Bull Sequana XH2000 , AMD Rome 7H12 64C 2.6GHz, Mellanox HDR100;CSC (Center for Scientific Computing);Finland;2020;Academic;169728;1070;64;Europe;47,508;179855;0.4034690799396682
152;DiRAC, Tursa;BullSequana XH2000, AMD EPYC 7302 32C 3GHz, NVIDIA A100 40GB, Mellanox HDR Infiniband;University of Edinburgh;United Kingdom;2021;Academic;55552;243.95;32;Europe;49,151;180018;0.14052419354838708
153;TX-GAIA (Green AI Accelerator);Apollo 2000, Xeon Gold 6248 20C 2.5GHz, NVIDIA Tesla V100, Intel Omni-Path;MIT Lincoln Laboratory Supercomputing Center;United States;2019;Academic;88400;1436;20;North America;48,296;179603;0.32488687782805425
155;Athena;FormatServer THOR ERG21, AMD EPYC 7742 64C 2.25GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR;Cyfronet;Poland;2021;Academic;47616;146.56;64;Europe;47,634;180055;0.19698924731182796
160;Cheyenne;SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR;National Center for Atmospheric Research (NCAR);United States;2016;Research;144900;1727;18;North America;48,418;178965;0.21453416149068322
168;Wisteria/BDEC-01 (Aquarius);PRIMERGY GX2570 M6, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR;Information Technology Center, The University of Tokyo;Japan;2021;Academic;42120;183.93;36;Asia;50,096;179963;0.15720512820512822
172;SNL/NNSA CTS-1 Manzano;Tundra Extreme Scale, Xeon Platinum 8268 24C 2.9GHz, Intel Omni-Path;Sandia National Laboratories;United States;2020;Research;71424;960;24;North America;48,748;179907;0.3225806451612903
179;Noctua 2;BullSequana XH2000, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR100;Universitaet Paderborn - PC2;Germany;2022;Academic;135168;868.74;64;Europe;49,104;180071;0.41133522727272726
184;JOLIOT-CURIE SKL;Bull Sequana X1000, Xeon Platinum 8168 24C 2.7GHz, Mellanox EDR;CEA/TGCC-GENCI;France;2017;Research;79488;917;24;Europe;50,414;179411;0.27687198067632846
187;Alex;MEGWARE NF5488A5, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 80 GB, Infiniband HDR;Universitaet Erlangen - Regionales Rechenzentrum Erlangen;Germany;2021;Academic;37696;178.97;64;Europe;49,515;180075;0.3038539898132428
201;Pratyush;Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ;Indian Institute of Tropical Meteorology;India;2018;Research;119232;1353.23;18;Asia;50,296;179416;0.2042919685990338
211;Snellius Phase 1 GPU;ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR;SURF;Netherlands;2022;Research;12960;205.35;36;Europe;50,900;180033;0.5704166666666667
212;Niagara;ThinkSystem SD530, Xeon Gold 6248 20C 2.5GHz, InfiniBand HDR100;SciNet/University of Toronto/Compute Canada;Canada;2017;Research;80640;919.42;20;North America;50,206;179408;0.22803075396825395
213;Fritz;Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100;Universitaet Erlangen - Regionales Rechenzentrum Erlangen;Germany;2021;Academic;71424;671.97;36;Europe;49,515;180074;0.33869455645161295
216;Anvil;PowerEdge 6525, AMD EPYC 7763 64C 2.45GHz, InfiniBand HDR 100;Purdue University;United States;2022;Academic;127488;792;64;North America;48,657;180085;0.39759036144578314
221;Altair;CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR;PCSS Poznan;Poland;2020;Academic;63360;829;24;Europe;50,183;179903;0.31401515151515147
222;Forerunner 1;ASUS RS723Q-E11-RS24, Xeon Platinum 8480+ 56C 2GHz, Infiniband NDR200;National Center for High Performance Computing;Taiwan;2023;Research;62496;614.87;56;Asia;50,977;180235;0.5509587813620072
226;Pegasus;NEC LX 102Bk-6, Xeon Platinum 8468 48C 2.1GHz, NVIDIA H100 SXM5 80 GB, Infiniband NDR 200;Center for Computational Sciences, University of Tsukuba;Japan;2023;Academic;21600;67.87;48;Asia;47,529;180170;0.15082222222222222
231;Cedar (GPU);PowerEdge C6420, Xeon Silver 4216 16C 2.1GHz, NVIDIA Tesla V100, Intel Omni-Path;Simon Fraser University/Compute Canada;Canada;2020;Academic;67584;310;16;North America;50,722;179859;0.07339015151515152
236;Topaz;SGI ICE X, Xeon E5-2699v3 18C 2.3GHz, Infiniband FDR;ERDC DSRC;United States;2015;Research;124200;5175;18;North America;47,771;178523;0.75
239;Damson;Bull Sequana X1000, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR;AWE;United Kingdom;2017;Research;113832;1134;18;Europe;47,363;179409;0.1793168880455408
240;LLNL/NNSA CTS-1 MAGMA;Relion Cluster, Intel Xeon Platinum 9242 48C 2.3GHz, Intel Omni-Path;Lawrence Livermore National Laboratory;United States;2019;Research;62400;887;48;North America;48,247;179774;0.6823076923076923
253;Lichtenberg II (Phase 1);MEGWARE MiriQuid, Intel Xeon Platinum 9242 48C 2.3GHz, Mellanox InfiniBand HDR100;Technische Universitaet Darmstadt;Germany;2020;Academic;59136;690;48;Europe;49,078;179857;0.560064935064935
266;Komondor;HPE Cray EX, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 SXM4 40 GB, Slingshot-11;Governmental Information-Technology Development Agency (KIFÜ);Hungary;2022;Academic;27776;110.24;64;Europe;50,927;180079;0.25400921658986175
270;Alps;HPE Cray EX, AMD EPYC 7742 64C 2.25GHz, Slingshot-10;Swiss National Supercomputing Centre (CSCS);Switzerland;2020;Research;128000;637.95;64;Europe;50,422;179900;0.318975
271;Numerical Materials Simulator;HPE SGI 8600, Xeon Platinum 8268 24C 2.9GHz, Dual-rail Intel Omni-Path;National Institute for Materials Science;Japan;2020;Research;53568;691.2;24;Asia;49,749;179847;0.3096774193548387
273;Camphor 2;Cray XC40, Intel Xeon Phi 7250 68C 1.4GHz, Aries interconnect ;Academic Center for Computing and Media Studies (ACCMS),  Kyoto University;Japan;2016;Academic;122400;748.1;68;Asia;50,516;178927;0.41561111111111115
275;Barnard;EVIDEN BullSequana X2140, Xeon Platinum 8470 52C 2GHz, Mellanox HDR Infiniband;TU Dresden, ZIH;Germany;2023;Academic;65520;535.7;52;Europe;50,565;180137;0.42515873015873024
277;Mistral;bullx DLC 720, Xeon E5-2680v3 12C 2.5GHz/E5-2695V4 18C  2.1Ghz, Infiniband FDR;DKRZ - Deutsches Klimarechenzentrum;Germany;2015;Research;99072;1116;12;Europe;47,642;178567;0.13517441860465115
293;Henri;ThinkSystem SR670 V2, Intel Xeon Platinum 8362 32C 2.8GHz, NVIDIA H100 80GB PCIe, Infiniband HDR;Flatiron Institute;United States;2022;Research;8288;44.07;32;North America;50,943;180087;0.17015444015444015
302;Karolina, CPU partition;Apollo 2000, AMD EPYC 7H12 64C 2.6GHz, InfiniBand HDR 100;IT4Innovations National Supercomputing Center, VSB-Technical University of Ostrava;Czechia;2021;Academic;92160;502.7;64;Europe;50,561;179926;0.3490972222222222
305;SuperMUC Phase 2;NeXtScale nx360M5, Xeon E5-2697v3 14C 2.6GHz, Infiniband FDR14;Leibniz Rechenzentrum;Germany;2015;Academic;86016;1480.83;14;Europe;48,248;178544;0.24102050781249998
309;JFRS-1;Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ;Rokkasho Fusion Institute, National Institutes for Quantum and Radiological Science and Technology;Japan;2018;Research;54560;697.51;20;Asia;50,767;179417;0.25568548387096773
320;SNL/NNSA CTS-1 Attaway;Tundra Extreme Scale, Xeon Gold 6140 18C 2.3GHz, Intel Omni-Path;Sandia National Laboratories;United States;2019;Research;52920;750;18;North America;48,748;179777;0.25510204081632654
334;LLNL/NNSA CTS-1 Jade;Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path;Lawrence Livermore National Laboratory;United States;2016;Research;95472;13620;18;North America;48,247;178969;2.5678733031674206
335;LLNL CTS-1 Quartz;Tundra Extreme Scale, Xeon E5-2695v4 18C 2.1GHz, Intel Omni-Path;Lawrence Livermore National Laboratory;United States;2016;Research;95472;13620;18;North America;48,247;178971;2.5678733031674206
344;Cedar (CPU);PowerEdge C6420, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path;Simon Fraser University/Compute Canada;Canada;2020;Academic;67584;792;24;North America;50,722;179858;0.28125
346;AlphaCentauri;NEC HPC 22S8Ri-4, EPYC 7352 24C 2.3GHz, NVIDIA A100 SXM4 40 GB, Infiniband HDR200;TU Dresden, ZIH;Germany;2021;Academic;31008;163.65;24;Europe;50,565;179942;0.1266640866873065
349;Conesus;PowerEdge C6220, Xeon Platinum 8480+ 56C 2GHz, Infiniband HDR200;University of Rochester - Laboratory for Laser Energetics;United States;2023;Research;43008;409.25;56;North America;50,958;180176;0.5328776041666666
354;Mihir;Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect ;National Centre for Medium Range Weather Forecasting;India;2018;Research;83592;954.73;18;Asia;50,235;179418;0.20558354866494402
355;Tianhe-1A;NUDT YH MPP, Xeon X5670 6C 2.93 GHz, NVIDIA 2050;National Supercomputing Center in Tianjin;China;2010;Research;186368;4040;6;Asia;50,310;176929;0.13006524725274726
357;PAI-BSystem;Sugon TC4600LP/W740I, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR, NVIDIA Tesla P100;China Meteorological Administration;China;2018;Research;50816;710;16;Asia;47,551;179440;0.22355163727959698
358;cascade;Atipa Visione IF442 Blade Server, Xeon E5-2670 8C 2.600GHz, Infiniband FDR, Intel Xeon Phi 5110P;DOE/SC/Pacific Northwest National Laboratory;United States;2013;Research;194616;1384;8;North America;48,611;178250;0.05689151971060961
363;occigen2;bullx DLC 720, Xeon E5-2690v4 14C 2.6GHz, Infiniband FDR;Grand Equipement National de Calcul Intensif - Centre Informatique National de l'Enseignement Suprie;France;2016;Academic;85824;1430;14;Europe;50,203;179092;0.2332680835197614
366;CLAIX (2018);INTEL-HNS2600BPB, Xeon Platinum 8160  24C 2.1GHz, Intel Omni-Path;Universitaet Aachen/RWTH - IT Center;Germany;2018;Academic;61200;692.05;24;Europe;50,675;179682;0.2713921568627451
373;Centennial;SGI ICE XA, Xeon E5-2698v4 20C 2.2GHz, Infiniband EDR;US Army Research Laboratory (ARL);United States;2017;Research;73920;835;20;North America;49,039;179105;0.2259199134199134
374;PAI-ASystem;Sugon TC4600, Xeon Gold 6142 16C 2.6GHz, Infiniband EDR;China Meteorological Administration;China;2017;Research;48128;740;16;Asia;47,551;179425;0.24601063829787234
404;Ares;CH121L V5 Liquid-Cooled, Xeon Platinum 8268 24C 2.9GHz, Infiniband EDR;Cyfronet;Poland;2021;Academic;37824;486.85;24;Europe;47,634;179958;0.30891497461928935
407;HoreKa-Blue;ThinkSystem SD650 V2, Xeon Platinum 8368 38C 2.4GHz, Mellanox HDR Infiniband;Karlsruher Institut für Technologie (KIT) ;Germany;2021;Academic;45752;494.51;38;Europe;50,444;179914;0.41072259136212624
416;VSC-5;MEGWARE SLIDESX, AMD EPYC 7713 64C 2GHz, Infiniband HDR;Vienna Scientific Cluster;Austria;2022;Academic;95232;516;64;Europe;50,345;180056;0.3467741935483871
417;Taiwania 3;QCT QuantaPlex T42D-2U/4N, Xeon Platinum 8280 28C 2.7GHz, InfiniBand HDR 100;National Center for High Performance Computing;Taiwan;2020;Research;50400;563.85;28;Asia;48,468;179902;0.31325000000000003
419;Wilkes-3;PowerEdge XE8545, AMD EPYC 7763 64C 2.45GHz, NVIDIA A100 80GB​, Infiniband HDR200 dual rail;University of Cambridge;United Kingdom;2021;Academic;26880;74.26;64;Europe;49,143;180046;0.17680952380952383
421;MeluXina - Cluster Module;BullSequana XH2000, AMD EPYC 7H12 64C 2.6GHz, Mellanox HDR200 InfiniBand/ParTec ParaStation ClusterS;LuxProvide;Luxembourg;2021;Research;73344;377.21;64;Europe;50,882;179964;0.32915357766143105
426;Béluga;Dell EMC PowerEdge R640, Xeon Gold 6148 20C 2.4GHz, NVIDIA Tesla V100, Infiniband EDR;Calcul Québec/Compute Canada;Canada;2019;Academic;72480;240;20;North America;50,800;179605;0.06622516556291391
431;Cumulus;PowerEdge C6420/C6320, Intel Xeon Phi 7210/Xeon Gold 6142F 16C 2.6GHz, Intel Omni-Path;University of Cambridge;United Kingdom;2018;Academic;50176;530;16;Europe;49,143;179577;0.1690051020408163
443;Rockfish;ThinkSystem SD530, Xeon Gold 6248R 24C 3GHz, Infiniband HDR;Johns Hopkins University;United States;2020;Academic;37392;450;24;North America;50,922;180200;0.2888318356867779
453;Lise GPU-X;ThinkSystem SD650-N V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA HGX A100 80GB 500W, Infiniband HDR200;Zuse Institute Berlin;Germany;2023;Research;21168;133.23;36;Europe;50,962;180138;0.22658163265306122
456;Phoenix - 2022;ThinkSystem SR670 V2, Xeon Platinum 8360Y 36C 2.4GHz, NVIDIA A100, Infiniband HDR;University of Adelaide;Australia;2022;Academic;20160;68.71;36;Oceania;50,921;180054;0.12269642857142857
459;HSUper;Megware D50TNP, Xeon Platinum 8360Y 36C 2.4GHz, InfiniBand HDR100;Helmut-Schmidt-Universität/Universität der Bundeswehr Hamburg;Germany;2022;Academic;41832;394.7;36;Europe;50,913;180076;0.3396729776247848
461;Snellius Phase 1 CPU;ThinkSystem SR645, AMD EPYC 7H12 64C 2.6GHz, InfiniBand HDR100;SURF;Netherlands;2021;Research;73728;504;64;Europe;50,900;180027;0.4375
467;Marvin (Scalable GPU Partition);MEGWARE GPU Server System, AMD EPYC 7713 64C 2GHz, NVIDIA A100 SXM4 80 GB, Infiniband NDR;University of Bonn;Germany;2023;Academic;17920;90.74;64;Europe;50,965;180161;0.32407142857142857
470;MagicCube3;Sugon TC6000, Xeon Gold 6142 16C 2.6GHz, Intel Omni-Path, NVIDIA Tesla V100;Shanghai Supercomputer Center;China;2019;Research;40960;430;16;Asia;49,697;179695;0.16796875
472;ATERUI II ;Cray XC50, Xeon Gold 6148 20C 2.4GHz, Aries interconnect ;National Astronomical Observatory of Japan;Japan;2018;Academic;40000;495.86;20;Asia;50,097;179419;0.24792999999999998
473;Greene;ThinkSystem SR650, Xeon Gold 6240 18C 2.6GHz, Infiniband HDR;New York University;United States;2020;Academic;32796;511.54;24;North America;49,783;179851;0.37434321258690084
496;Olaf;Lenovo ThinkSystem SR675 V3, AMD EPYC 9334 32C 2.7GHz, NVIDIA H100, Infiniband NDR 400;Science Institute;South Korea;2023;Research;3936;44.95;32;Asia;50,999;180180;0.36544715447154474
